user_id,profile_url,reliability_score,signal_posts,total_posts,stocks,bullish_posts
16306576,https://q.futunn.com/profile/16306576,100.0,2,2,SOFI-US,升一日10% 都冇 $SoFi Technologies (SOFI.US)$ 1 || 升一日10% 都冇 $SoFi Technologies (SOFI.US)$ 1
22703627,https://q.futunn.com/profile/22703627,100.0,2,2,TSLA-US,被SpaceX上市 搞得 $特斯拉 (TSLA.US)$ || 被SpaceX上市 搞得 $特斯拉 (TSLA.US)$
10980182,https://q.futunn.com/profile/10980182,100.0,2,2,PLTR-US,$PLTR 260626 180.00C$ 每天升10%😂 || $PLTR 260626 180.00C$ 每天升10%😂
26821723,https://q.futunn.com/profile/26821723,100.0,2,2,PLTR-US,$Palantir (PLTR.US)$ 要么不升，要么一天升10个点？ || $Palantir (PLTR.US)$ 要么不升，要么一天升10个点？
7908351,https://q.futunn.com/profile/7908351,100.0,2,2,PLTR-US,$Palantir (PLTR.US)$ 开盘抢的期权 软件股持续走强，AI冲击担忧已消散？ 1 || $Palantir (PLTR.US)$ 开盘抢的期权 软件股持续走强，AI冲击担忧已消散？ 1
35328230,https://q.futunn.com/profile/35328230,100.0,1,1,NVDA-US,$英伟达 (NVDA.US)$雄起今天，目标价220
17662441,https://q.futunn.com/profile/17662441,100.0,1,1,NVDA-US,$英伟达 (NVDA.US)$ 飞吧！
18483810,https://q.futunn.com/profile/18483810,100.0,1,1,NVDA-US,个个都升到飞起，你生性味，你系教父🤭🤭 $英伟达 (NVDA.US)$
18294693,https://q.futunn.com/profile/18294693,100.0,1,1,META-US,$Meta Platforms (META.US)$ 我600以下入
16894456,https://q.futunn.com/profile/16894456,100.0,1,1,PLTR-US,$Palantir (PLTR.US)$ 下星期上硬200 炒完储存到软件返黎
