title,company,location,posted,source,salary,type,link
"Senior System Engineer, Product Development",Octopus Holdings Limited,"Kowloon Bay, Kwun Tong District",Listed one hour ago,JobsDB,,,
Head of IT (Job Ref: 202526-40),"AEON CREDIT SERVICE (ASIA) CO., LTD.","Tsim Sha Tsui, Yau Tsim Mong District",Listed one hour ago,JobsDB,,Permanent and Inhouse position. Location: TST,
Regional Application Manager,Ikas International (Asia) Limited,Central and Western District(Hybrid),Listed forty two minutes ago,JobsDB,,,
System Engineer / System Administrator,Sportshouse Limited,Tsuen Wan District,Listed one hour ago,JobsDB,,,
"(Senior) Cloud Engineer, Banking, 45k",Ambition,Kowloon,Listed one day ago,JobsDB,,,
Technical Consultant,Kenfil Hong Kong Ltd,"Wan Chai, Wan Chai District",Listed fifty eight minutes ago,JobsDB,,,
"Manager, IT Project Management",The Hong Kong Jockey Club,Sha Tin District,Listed five hours ago,JobsDB,,,
DevOps Programmer,Starteam Global Limited,"Hung Hom, Kowloon City District(Hybrid)",Listed five hours ago,JobsDB,,,
(Senior) System Administration Manager (Cloud),Bank of China (Hong Kong) Limited,Hong Kong SAR,Listed one day ago,JobsDB,,,
Digital Solutions Manager,Harbour City Estates Limited,"Tsim Sha Tsui, Yau Tsim Mong District",Listed six hours ago,JobsDB,,,
Application Support Engineer (Cloud/API) - Contract,Robert Walters (HK) Ltd,"Central, Central and Western District",Listed seven hours ago,JobsDB,,Application Support Engineer (Cloud/API) - Contract,
(Senior) System Administration Manager (Linux),Bank of China (Hong Kong) Limited,"Fo Tan, Sha Tin District",Listed one day ago,JobsDB,,,
"System Engineer, Information Security (Red Team)",Octopus Holdings Limited,"Kowloon Bay, Kwun Tong District",Listed one hour ago,JobsDB,,,
"General Manager, Application Development",Path Search Company Limited,Kowloon,Listed five hours ago,JobsDB,,,
IT Support Officer,Now TV,"Wan Chai, Wan Chai District",Listed five hours ago,JobsDB,,,
"Systems Architect (Java, React)",CL Technical Services Ltd.,"Wan Chai, Wan Chai District",Listed fifty nine minutes ago,JobsDB,,,
Senior Python Developer,Beyond Eternity Space Limited,"Tsim Sha Tsui, Yau Tsim Mong District",Listed one hour ago,JobsDB,,,
Technical Lead (Cloud Migration) (Insurance),WallStone Partners & Company Limited,"San Po Kong, Wong Tai Sin District",Listed twenty one hours ago,JobsDB,,,
Vice President / Head of Product,GoAnimate Hong Kong Limited,"Sheung Wan, Central and Western District(Remote)",Listed five hours ago,JobsDB,,,
IT Infrastructure Team - Network and Systems ( 3 x Openings),Acton Consulting Limited,Kowloon,Listed one day ago,JobsDB,,,
Senior Systems Engineer / Systems Engineer (Enterprise Infrastructure & Storage),Nikoyo (HK) Ltd,"Tai Koo, Eastern District",Listed three hours ago,JobsDB,,,
Senior System Analyst (Cloud Migration) (Insurance),WallStone Partners & Company Limited,"San Po Kong, Wong Tai Sin District",Listed twenty one hours ago,JobsDB,,,
Senior IT Officer (Senior Analyst Programmer - JAVA),Kai Shing Management Services Ltd,Kwun Tong District,Listed four hours ago,JobsDB,,,
"System Engineer, Product Development",Octopus Holdings Limited,"Kowloon Bay, Kwun Tong District",Listed one day ago,JobsDB,,,
Senior DevOps Engineer,Satisfied Technology Services Limited,"Tsim Sha Tsui, Yau Tsim Mong District",Listed one day ago,JobsDB,,,
Senior Manager (Information Technology Risk Management),HKMC Annuity Limited,Kwun Tong District,Listed forty nine minutes ago,JobsDB,,,
IT Engineer - International School (IMMEDIATE),"Nord Anglia International School, Hong Kong Limited","Hung Hom, Kowloon City District",Listed one hour ago,JobsDB,,,
(Senior) Application Development Manager,Bank Of China (Hong Kong) Limited,Hong Kong,1 day ago,eFinancialCareers,,Hong KongPermanent,
DevOps Lead - Global Trading Firm - Hong Kong,NLS,Hong Kong,2 days ago,eFinancialCareers,"Up to HKD 2,000,000 base per annum",Hong KongPermanent,
"Manager / Senior Manager, System Development (Credit Card & Enterprise Services)",Dah Sing Financial Group,Hong Kong,1 day ago,eFinancialCareers,,Hong KongPermanent,
Senior Backend Engineer - API and Microservice,Bank Of China (Hong Kong) Limited,Hong Kong,23 hours ago,eFinancialCareers,,Hong KongPermanent,
RAD Developer - Equity / C# / Python / Banking - 60k to 80k,ConnectedGroup Limited,Hong Kong,2 days ago,eFinancialCareers,HKD60000 - HKD80000 per month,Hong KongPermanent,
Development Lead - API and Microservice,Bank Of China (Hong Kong) Limited,Hong Kong,3 days ago,eFinancialCareers,,Hong KongPermanent,
System Analyst (Associate) - Listing Systems - IT - 12 months,Hong Kong Exchanges and Clearing Limited,Hong Kong,2 days ago,eFinancialCareers,,Hong KongContract,
Senior Systems Analyst (Mobile Banking System-in charge),Gravitas Recruitment Group,Hong Kong,3 days ago,eFinancialCareers,,Hong KongPermanent,
DevSecOps Scrum Master - Finance Institution,Hong KongContract,Hong Kong,3 days ago,eFinancialCareers,,,
System Development Manager (AVP) - Listing Systems - IT - 12 months Contract,Hong Kong Exchanges and Clearing Limited,Hong Kong,3 days ago,eFinancialCareers,,Hong KongContract,
Technology - SuccessFactors Solution Architect/ Technical Lead (Manager - Senior Manager),Hong KongPermanent,Hong Kong,3 days ago,eFinancialCareers,,,
Senior Site Reliability/DevOps Engineer,Hong KongPermanent,Hong Kong,4 days ago,eFinancialCareers,,,
"SRE, High Frequency Trading, Multiple Clients (OPEN BUDGET!!!)",Hong KongPermanent,Hong Kong,2 days ago,eFinancialCareers,,,
