title,company,location,posted,source,link
DevOps Engineer,Delvify,Remote,,Indeed,
Cloud Governance Manager / Cloud Architect / DevOps Lead - IC,Classy Wheeler,"Kwun Tong, Kowloon",25 days ago,Indeed,
IT Specialist - Officer - Post-trade Application - 12 months contract,,Hong Kong Exchanges and Clearing Limited (HKEX),,Indeed,
DevOps Engineer - Midnight Foundation,IO Global,Hong Kong,Often replies in 1 day,Indeed,
System Analyst,Mobile Innovation Technology Limited,"Kwun Tong, Kowloon",,Indeed,
Systems Analyst - IC,Classy Wheeler,"Kwun Tong, Kowloon",,Indeed,
Solutions Architect (Software Applications) - IC,Classy Wheeler,"Quarry Bay, Hong Kong Island",,Indeed,
System Analyst / Analyst Programmer,Classy Wheeler,Hong Kong,,Indeed,
Java Analyst Programmer (Government Projects),Classy Wheeler,Hong Kong,,Indeed,
Senior Azure Consultant,ITCS Group,Hong Kong,,Indeed,
Manager (DevOps Architect),,Hong Kong Interbank Clearing Limited,,Indeed,
"Project Engineer (Genesys Cloud, Kubernetes, DevOps, Contact Center)",Classy Wheeler,,,Indeed,
