title,company,location,posted,link
DevOps Engineer,OOCL,Hong Kong SAR,1 hour ago,https://hk.linkedin.com/jobs/view/devops-engineer-at-oocl-123456789
Automation QA Engineer,CoinMarketCap,Hong Kong SAR,11 months ago,https://www.linkedin.com/jobs/view/automation-qa-engineer-at-coinmarketcap-123456789
Site Reliability Engineering Manager,AS Watson,New Territories,1 month ago,https://hk.linkedin.com/jobs/view/site-reliability-engineering-manager-at-aswatson-123456789
AI platform Lead / Architect,Financial services,Venturenix,Hong Kong SAR,5 days ago,https://hk.linkedin.com/jobs/view/ai-platform-lead-at-venturenix-123456789
Software QA Engineer,PUMA Group,Kowloon,2 weeks ago,https://de.linkedin.com/jobs/view/software-qa-engineer-at-puma-123456789
Assistant Manager – Digital Solutions (IT),Hong Kong Maxim's Group,Kowloon,1 week ago,https://hk.linkedin.com/jobs/view/assistant-manager-digital-solutions-at-hong-kong-maxim-123456789
Associate Quality Assurance Engineer,GoGoX,Kwun Tong District,1 week ago,https://hk.linkedin.com/jobs/view/associate-quality-assurance-engineer-at-gogox-123456789
DevOps Engineer - Midnight Foundation,Input Output Group,Hong Kong SAR,6 days ago,https://sg.linkedin.com/jobs/view/devops-engineer-at-input-output-group-123456789
AI Platform Lead - Leading Financial Institution,PFCC Group,Hong Kong SAR,3 days ago,https://hk.linkedin.com/jobs/view/ai-platform-lead-at-pfcc-group-123456789
DevOps Engineer - Global Financial Institution,NLS Executive Search,Hong Kong SAR,2 weeks ago,https://hk.linkedin.com/jobs/view/devops-engineer-at-nls-executive-search-123456789
DevOps Engineer,TEKsystems,Central,1 week ago,https://www.linkedin.com/jobs/view/devops-engineer-at-teksystems-123456789
Post Trade QA Engineer - Global Investment Bank,NLS Executive Search,Hong Kong SAR,2 weeks ago,https://hk.linkedin.com/jobs/view/post-trade-qa-engineer-at-nls-executive-search-123456789
DevOps Engineer,Nityo Infotech,Hong Kong SAR,2 weeks ago,https://www.linkedin.com/jobs/view/devops-engineer-at-nityo-infotech-123456789
Global Head of Production Engineering & Infrastructure,HSBC,Kowloon City,1 week ago,https://uk.linkedin.com/jobs/view/global-head-of-production-engineering-at-hsbc-123456789
Senior Manager IT Change Release Management,The Hong Kong Jockey Club,Sha Tin District,1 week ago,https://hk.linkedin.com/jobs/view/senior-manager-it-change-release-management-at-hkjc-123456789
Cyber Security DevSecOps Architect,Sands China,Hong Kong SAR,5 days ago,https://cn.linkedin.com/jobs/view/cyber-security-devsecops-architect-at-sands-china-123456789
DevOps Engineer /SRE/ Global Financial Firm,TEKsystems,Central,2 weeks ago,https://www.linkedin.com/jobs/view/devops-engineer-sre-at-teksystems-123456789
Technical Project Manager,IBM,Hong Kong SAR,3 weeks ago,https://www.linkedin.com/jobs/view/technical-project-manager-at-ibm-123456789
Technical Manager Platforms Engineering,The Hong Kong Jockey Club,Sha Tin District,2 weeks ago,https://hk.linkedin.com/jobs/view/technical-manager-platforms-engineering-at-hkjc-123456789
Solutions Architect (AI Platform),Adecco,Hong Kong SAR,2 weeks ago,https://ch.linkedin.com/jobs/view/solutions-architect-ai-platform-at-adecco-123456789
Manager Application Management,Prudential Hong Kong,Hong Kong SAR,4 days ago,https://hk.linkedin.com/jobs/view/manager-application-management-at-prudential-123456789
Trading Analytics Developer - Quantitative Trading,Crypto.com,Hong Kong SAR,2 weeks ago,https://sg.linkedin.com/jobs/view/trading-analytics-developer-at-cryptocom-123456789
Senior Technical Manager Solution Architecture,The Hong Kong Jockey Club,Sha Tin District,18 hours ago,https://hk.linkedin.com/jobs/view/senior-technical-manager-solution-architecture-at-hkjc-123456789
Python Developer - Banking,Capco,Hong Kong SAR,6 days ago,https://uk.linkedin.com/jobs/view/python-developer-banking-at-capco-123456789
Technical Manager Platforms Engineering CIAM,The Hong Kong Jockey Club,Sha Tin District,1 week ago,https://hk.linkedin.com/jobs/view/technical-manager-platforms-engineering-ciam-at-hkjc-123456789
AI Agent Security Research Engineer,OKX,Hong Kong SAR,20 hours ago,https://www.linkedin.com/jobs/view/ai-agent-security-research-engineer-at-okx-123456789
Senior Technical Manager IT Release and Deployment,The Hong Kong Jockey Club,Sha Tin District,1 week ago,https://hk.linkedin.com/jobs/view/senior-technical-manager-it-release-deployment-at-hkjc-123456789
Manager Team Lead - Deloitte AI Institute,Deloitte,Hong Kong SAR,2 weeks ago,https://www.linkedin.com/jobs/view/manager-team-lead-deloitte-ai-institute-at-deloitte-123456789
Technical Manager Security Delivery,The Hong Kong Jockey Club,Sha Tin District,2 weeks ago,https://hk.linkedin.com/jobs/view/technical-manager-security-delivery-at-hkjc-123456789
Manager Systems Application Development,Global Payments Inc.,Kowloon,2 weeks ago,https://www.linkedin.com/jobs/view/manager-systems-application-development-at-global-payments-123456789
