title,company,location,posted,link
Deputy Lead Cloud & System Engineer,KLN Logistics,Kwai Chung,1 day ago,
Senior Backend Engineer – Golang,Buyandship Limited,Lai Chi Kok,20h ago,
DevOps Technical Project Manager,WallStone Partners,San Po Kong,23h ago,
IT Specialist - Officer - Post-trade Application,HKEX,HK SAR,12h ago,
"AI Web Developer (40K+, Startup Mindset)",Robert Walters,Central,20h ago,
Junior JAVA Programmer,EIDEALINK LIMITED,Ho Man Tin,1 day ago,
Junior JAVA Programmer,Speedy Group Corp,Ho Man Tin,22h ago,
Senior SDET & Senior Performance Test Engineer,Furong Uptech,Tsuen Wan,22h ago,
Programmer (IT Officer/IT Technician),University of Hong Kong,Central,2 days ago,
Devops Engineer,IO Tech Solutions,HK SAR,19h ago,
Software Engineer - Back End & AI,EYT3 Limited,Southern,19h ago,
